ID_AREAS_PRIORITARIAS_SBN_2022;AREA_M2;EXP_ALAG;EXP_DESL;EXP_INUN;EXP_ONDA;VUL_ALAG;VUL_DESL;VUL_INUN;VUL_ONDA;AC_ALAG;AC_DESL;AC_INUN;AC_ONDA;CON_AMB;CON_ANT;CON_TOT;SBN_ALAG;SBN_DESL;SBN_INUN;SBN_ONDA;GEOMETRIA
29;113560.62;0.0;0.0;0.0;1.55;;;;1.6;0.0;;;1.58;2.5;0.0;1.25;0.0;;;1.42;MULTIPOLYGON (((612375.11 7808692.15, 612486.92 7808865.51, 612385.44 7809046.55, 612172.15 7809054.24, 612060.34 7808880.88, 612161.82 7808699.84, 612375.11 7808692.15)))
30;113561.51;0.0;0.0;0.48;2.6;;;0.0;1.8;0.0;;1.41;2.2;2.5;0.0;1.25;0.0;;1.33;1.73;MULTIPOLYGON (((613014.99 7808669.10, 613126.80 7808842.46, 613025.33 7809023.51, 612812.03 7809031.19, 612700.22 7808857.83, 612801.69 7808676.79, 613014.99 7808669.10)))
31;113563.65;1.15;0.0;0.1;3.25;2.8;;2.26;1.8;1.98;;1.18;2.53;2.5;0.0;1.25;1.62;;1.21;1.89;MULTIPOLYGON (((612700.22 7808857.83, 612812.03 7809031.19, 612710.55 7809212.23, 612497.26 7809219.92, 612385.44 7809046.55, 612486.92 7808865.51, 612700.22 7808857.83)))
32;113553.32;0.45;0.0;0.47;1.65;2.95;;2.44;1.95;1.7;;1.46;1.8;3.75;0.0;1.88;1.79;;1.67;1.84;MULTIPOLYGON (((612679.55 7808149.05, 612791.36 7808322.40, 612689.88 7808503.43, 612476.59 7808511.12, 612364.78 7808337.76, 612466.26 7808156.73, 612679.55 7808149.05)))
33;113555.45;0.0;0.0;0.0;1.55;;;;1.7;0.0;;;1.63;2.5;0.0;1.25;0.0;;;1.44;MULTIPOLYGON (((612364.78 7808337.76, 612476.59 7808511.12, 612375.11 7808692.15, 612161.82 7808699.84, 612050.01 7808526.48, 612151.49 7808345.45, 612364.78 7808337.76)))
34;113556.35;0.0;0.0;0.86;2.85;;;0.0;2.1;0.0;;1.62;2.48;3.75;0.0;1.88;0.0;;1.75;2.18;MULTIPOLYGON (((613004.65 7808314.71, 613116.46 7808488.07, 613014.99 7808669.10, 612801.69 7808676.79, 612689.88 7808503.43, 612791.36 7808322.40, 613004.65 7808314.71)))
35;113552.97;0.2;0.0;1.17;1.85;3.55;;2.32;2.2;1.88;;1.75;2.03;2.5;0.0;1.25;1.57;;1.5;1.64;MULTIPOLYGON (((614274.03 7807914.23, 614385.86 7808087.57, 614284.39 7808268.61, 614071.10 7808276.29, 613959.27 7808102.94, 614060.74 7807921.91, 614274.03 7807914.23)))
36;113555.11;0.5;0.89;0.0;1.15;2.75;3.95;;1.7;1.63;2.42;;1.42;2.5;0.0;1.25;1.44;1.84;;1.34;MULTIPOLYGON (((613959.27 7808102.94, 614071.10 7808276.29, 613969.63 7808457.33, 613756.34 7808465.01, 613644.52 7808291.66, 613745.99 7808110.63, 613959.27 7808102.94)))
37;113556.0;0.0;0.0;0.67;1.45;;;0.0;2.0;0.0;;1.53;1.73;2.5;0.0;1.25;0.0;;1.39;1.49;MULTIPOLYGON (((614599.15 7808079.89, 614710.98 7808253.24, 614609.51 7808434.28, 614396.22 7808441.96, 614284.39 7808268.61, 614385.86 7808087.57, 614599.15 7808079.89)))
38;113558.14;0.0;0.67;0.07;1.25;;1.75;0.0;1.6;0.0;1.21;1.19;1.43;2.5;1.67;2.09;0.0;1.65;1.64;1.76;MULTIPOLYGON (((614284.39 7808268.61, 614396.22 7808441.96, 614294.75 7808623.00, 614081.46 7808630.69, 613969.63 7808457.33, 614071.10 7808276.29, 614284.39 7808268.61)))
39;113547.81;0.0;0.0;0.0;1.45;;;;2.45;0.0;;;1.95;2.5;0.0;1.25;0.0;;;1.6;MULTIPOLYGON (((614263.67 7807559.86, 614375.49 7807733.20, 614274.03 7807914.23, 614060.74 7807921.91, 613948.92 7807748.57, 614050.38 7807567.54, 614263.67 7807559.86)))
40;113549.94;0.2;0.0;0.55;1.6;3.65;;2.3;2.5;1.93;;1.42;2.05;2.5;0.0;1.25;1.59;;1.34;1.65;MULTIPOLYGON (((613948.92 7807748.57, 614060.74 7807921.91, 613959.27 7808102.94, 613745.99 7808110.63, 613634.17 7807937.28, 613735.63 7807756.25, 613948.92 7807748.57)))
41;113550.83;0.2;0.0;0.0;2.3;3.9;;;2.5;2.05;;;2.4;2.5;0.0;1.25;1.65;;;1.83;MULTIPOLYGON (((614588.78 7807725.51, 614700.61 7807898.86, 614599.15 7808079.89, 614385.86 7808087.57, 614274.03 7807914.23, 614375.49 7807733.20, 614588.78 7807725.51)))
42;113570.72;0.0;0.0;0.04;2.2;;;0.0;0.25;0.0;;0.14;1.23;1.25;0.0;0.63;0.0;;0.39;0.93;MULTIPOLYGON (((617819.40 7808673.42, 617931.26 7808846.78, 617829.81 7809027.83, 617616.50 7809035.52, 617504.65 7808862.15, 617606.09 7808681.10, 617819.40 7808673.42)))
43;113565.56;0.0;0.0;0.09;2.6;;;0.0;1.45;0.0;;0.48;2.03;2.5;0.0;1.25;0.0;;0.87;1.64;MULTIPOLYGON (((617808.98 7808319.01, 617920.84 7808492.37, 617819.40 7808673.42, 617606.09 7808681.10, 617494.24 7808507.74, 617595.68 7808326.70, 617808.98 7808319.01)))
44;113537.58;0.25;0.0;0.0;2.85;4.85;;;4.55;2.55;;;3.7;0.0;1.67;0.84;1.69;;;2.27;MULTIPOLYGON (((618071.63 7806358.45, 618183.49 7806531.78, 618082.05 7806712.79, 617868.76 7806720.48, 617756.91 7806547.15, 617858.35 7806366.13, 618071.63 7806358.45)))
45;113527.24;0.25;0.0;0.0;2.7;4.65;;;4.05;2.45;;;3.38;1.25;1.67;1.46;1.96;;;2.42;MULTIPOLYGON (((618050.79 7805649.79, 618162.64 7805823.10, 618061.21 7806004.11, 617847.93 7806011.80, 617736.08 7805838.48, 617837.52 7805657.47, 618050.79 7805649.79)))
46;113529.39;0.45;0.0;0.0;2.45;4.8;;;4.4;2.63;;;3.43;1.25;3.33;2.29;2.46;;;2.86;MULTIPOLYGON (((617736.08 7805838.48, 617847.93 7806011.80, 617746.50 7806192.81, 617533.22 7806200.50, 617421.37 7806027.17, 617522.81 7805846.17, 617736.08 7805838.48)))
47;113530.26;0.3;0.0;0.0;2.7;4.75;;;4.4;2.53;;;3.55;1.25;1.67;1.46;2.0;;;2.51;MULTIPOLYGON (((618375.92 7805815.42, 618487.78 7805988.74, 618386.35 7806169.75, 618173.06 7806177.43, 618061.21 7806004.11, 618162.64 7805823.10, 618375.92 7805815.42)))
48;113541.87;0.0;0.0;0.0;3.25;;;;2.0;0.0;;;3.88;0.0;0.0;0.0;0.0;;;1.94;MULTIPOLYGON (((617442.19 7806735.85, 617554.04 7806909.19, 617452.60 7807090.21, 617239.31 7807097.90, 617127.46 7806924.56, 617228.90 7806743.54, 617442.19 7806735.85)))
96;113283.85;1.0;2.47;0.0;3.15;2.4;2.95;;3.2;1.7;2.71;;3.18;1.25;1.67;1.46;1.58;2.09;;2.32;MULTIPOLYGON (((606723.11 7790463.10, 606834.79 7790636.16, 606733.37 7790816.93, 606520.26 7790824.63, 606408.58 7790651.57, 606510.00 7790470.80, 606723.11 7790463.10)))
97;113285.99;0.4;1.14;0.05;3.15;1.15;3.05;1.4;1.45;0.77;2.09;0.73;2.3;1.25;3.33;2.29;1.53;2.19;1.51;2.3;MULTIPOLYGON (((606408.58 7790651.57, 606520.26 7790824.63, 606418.82 7791005.40, 606205.71 7791013.10, 606094.03 7790840.04, 606195.47 7790659.27, 606408.58 7790651.57)))
98;113275.59;0.4;2.6;0.0;2.1;1.6;3.45;;1.9;1.0;3.03;;2.0;1.25;1.67;1.46;1.23;2.25;;1.73;MULTIPOLYGON (((606388.08 7789943.93, 606499.75 7790116.98, 606398.33 7790297.74, 606185.22 7790305.45, 606073.55 7790132.39, 606174.98 7789951.63, 606388.08 7789943.93)))
99;113277.73;0.15;2.9;0.0;1.75;1.3;3.3;;1.5;0.73;3.1;;1.63;1.25;1.67;1.46;1.1;2.28;;1.55;MULTIPOLYGON (((606073.55 7790132.39, 606185.22 7790305.45, 606083.79 7790486.21, 605870.68 7790493.91, 605759.01 7790320.85, 605860.44 7790140.09, 606073.55 7790132.39)))
100;113278.65;0.7;0.48;0.0;3.1;1.65;2.75;;1.9;1.17;1.62;;2.5;1.25;1.67;1.46;1.32;1.54;;1.98;MULTIPOLYGON (((606712.86 7790109.28, 606824.54 7790282.34, 606723.11 7790463.10, 606510.00 7790470.80, 606398.33 7790297.74, 606499.75 7790116.98, 606712.86 7790109.28)))
101;113290.27;0.0;0.02;0.44;2.55;;3.15;1.21;1.05;0.0;1.59;0.83;1.8;3.75;1.67;2.71;0.0;2.15;1.77;2.26;MULTIPOLYGON (((605779.49 7791028.51, 605891.16 7791201.58, 605789.73 7791382.35, 605576.61 7791390.05, 605464.94 7791216.98, 605566.38 7791036.21, 605779.49 7791028.51)))
102;113292.4;0.65;0.0;0.0;3.5;1.35;;;1.55;1.0;;;2.53;2.5;3.33;2.92;1.96;;;2.72;MULTIPOLYGON (((605464.94 7791216.98, 605576.61 7791390.05, 605475.17 7791570.83, 605262.06 7791578.53, 605150.39 7791405.46, 605251.83 7791224.68, 605464.94 7791216.98)))
103;113293.33;0.0;2.37;0.11;1.7;;3.15;1.28;0.9;0.0;2.76;0.7;1.3;2.5;1.67;2.09;0.0;2.42;1.4;1.69;MULTIPOLYGON (((606104.28 7791193.87, 606215.96 7791366.95, 606114.52 7791547.72, 605901.40 7791555.43, 605789.73 7791382.35, 605891.16 7791201.58, 606104.28 7791193.87)))
104;113295.47;0.0;1.09;0.61;1.85;;3.1;1.21;0.65;0.0;2.1;0.91;1.25;2.5;1.67;2.09;0.0;2.09;1.5;1.67;MULTIPOLYGON (((605789.73 7791382.35, 605901.40 7791555.43, 605799.97 7791736.21, 605586.85 7791743.91, 605475.17 7791570.83, 605576.61 7791390.05, 605789.73 7791382.35)))
105;113285.07;0.75;0.9;0.31;2.65;1.45;3.35;1.25;1.7;1.1;2.13;0.78;2.17;3.75;1.67;2.71;1.91;2.42;1.75;2.44;MULTIPOLYGON (((605769.25 7790674.68, 605880.92 7790847.74, 605779.49 7791028.51, 605566.38 7791036.21, 605454.71 7790863.14, 605556.14 7790682.38, 605769.25 7790674.68)))
106;113287.2;1.4;0.0;0.22;3.85;1.85;;1.4;2.25;1.63;;0.81;3.05;2.5;1.67;2.09;1.86;;1.45;2.57;MULTIPOLYGON (((605454.71 7790863.14, 605566.38 7791036.21, 605464.94 7791216.98, 605251.83 7791224.68, 605140.16 7791051.62, 605241.60 7790870.85, 605454.71 7790863.14)))
107;113288.13;0.0;1.66;0.15;3.55;;2.95;1.38;1.45;0.0;2.31;0.76;2.5;2.5;1.67;2.09;0.0;2.2;1.42;2.3;MULTIPOLYGON (((606094.03 7790840.04, 606205.71 7791013.10, 606104.28 7791193.87, 605891.16 7791201.58, 605779.49 7791028.51, 605880.92 7790847.74, 606094.03 7790840.04)))
108;113284.78;1.1;0.86;0.0;2.25;1.3;2.35;;0.8;1.2;1.61;;1.53;1.25;0.0;0.63;0.92;1.12;;1.08;MULTIPOLYGON (((607362.44 7790439.99, 607474.13 7790613.05, 607372.70 7790793.82, 607159.59 7790801.52, 607047.91 7790628.46, 607149.33 7790447.69, 607362.44 7790439.99)))
109;113286.92;1.25;2.72;0.0;2.85;1.6;2.75;;1.3;1.43;2.74;;2.08;2.5;0.0;1.25;1.34;2.0;;1.67;MULTIPOLYGON (((607047.91 7790628.46, 607159.59 7790801.52, 607058.16 7790982.29, 606845.05 7790989.99, 606733.37 7790816.93, 606834.79 7790636.16, 607047.91 7790628.46)))
110;113287.84;0.0;0.46;0.15;2.1;;2.4;1.74;1.6;0.0;1.43;0.95;1.85;1.25;3.33;2.29;0.0;1.86;1.62;2.07;MULTIPOLYGON (((607687.24 7790605.35, 607798.93 7790778.41, 607697.51 7790959.18, 607484.39 7790966.89, 607372.70 7790793.82, 607474.13 7790613.05, 607687.24 7790605.35)))
111;113289.98;0.95;0.27;0.0;2.2;1.35;2.25;;0.9;1.15;1.26;;1.55;1.25;0.0;0.63;0.89;0.95;;1.09;MULTIPOLYGON (((607372.70 7790793.82, 607484.39 7790966.89, 607382.97 7791147.66, 607169.85 7791155.36, 607058.16 7790982.29, 607159.59 7790801.52, 607372.70 7790793.82)))
112;113260.9;0.0;0.2;0.0;2.2;;0.95;;2.1;0.0;0.57;;3.4;1.25;0.0;0.63;0.0;0.6;;2.02;MULTIPOLYGON (((606996.61 7788859.44, 607108.29 7789032.48, 607006.87 7789213.22, 606793.77 7789220.93, 606682.10 7789047.89, 606783.52 7788867.15, 606996.61 7788859.44)))
