ID_BAC,NOME,NOME_UNID_PLANEJAMENTO,perc_bairro_na_up
72,Fernão Dias,São Paulo/Goiânia,99.97651577784525
73,Universitário,Jaraguá,76.40670664449664
74,dos Palmares,Cristiano Machado,95.19496411517476
75,União,Cristiano Machado,74.09637551249882
76,Santa Cruz,Cachoeirinha,94.29539674696004
77,Serrano,Sarandi,53.2444305338135
78,Celso Machado,Abílio Machado,100.0
79,Itacolomi,Abílio Machado,100.0
80,do Castelo,Castelo,99.85947887301327
81,Paquetá,Ouro Preto,94.88828129974323
82,"São Francisco, Terceira Seção",São Francisco,99.9452695997967
83,"São Francisco, Oitava Seção",São Francisco,99.75777449133633
84,"São Francisco, Primeira Seção",São Francisco,99.32149498687814
85,"São Francisco, Quarta Seção",São Francisco,100.0
86,"São Francisco, Segunda Seção",São Francisco,99.9055347927416
87,"São Francisco, Quinta Seção",São Francisco,54.23340527178214
88,Sumaré,Antônio Carlos,100.0
89,"São Francisco, Sexta Seção",Antônio Carlos,94.34221191904983
90,Ermelinda,Antônio Carlos,99.99934429440496
91,Maria Aparecida,Antônio Carlos,100.0
92,Riachuelo,Antônio Carlos,85.77904171343538
93,Industrial Melo Viana,Cristiano Machado,98.39565855934852
94,Cachoeirinha,Cachoeirinha,61.574122834066905
95,Maura,Cristiano Machado,100.0
96,Ipiranga,Cristiano Machado,95.99578275367166
97,Santa Inês,Instituto Agronômico,53.00632593788753
98,Nova Floresta,Cristiano Machado,100.0
99,Cidade Jardim,Pompéia,99.98870180030072
100,Vera Cruz,Taquaril,70.57597384466979
101,Cruzeiro do Sul,Pompéia,99.86831576726563
102,das Castanheiras,Taquaril,73.27559961019813
103,Novo Horizonte,Pompéia,97.71346006111234
104,Jonas Veiga,Baleia,86.87179403842859
105,Pirineus,Baleia,100.0
106,Cônego Pinheiro,Santa Efigênia,100.0
107,dos Coqueiros,Glória,99.96996683266843
108,Patrocínio,Glória,99.92378244379312
109,Alípio de Melo,Abílio Machado,99.83607114397498
110,Caparaó,Caiçara,95.7405234240293
111,Caiçaras,Caiçara,99.74016666208527
112,Senhor Bom Jesus,Antônio Carlos,100.0
113,Adélia,Antônio Carlos,99.33959794737218
114,Azul,Cachoeirinha,60.98944549408826
115,Canadá,Concórdia,53.073941608337336
116,Renascença,Cristiano Machado,96.22574446813707
117,Tiradentes-Concórdia,Concórdia,99.16924785487411
118,da Graça,Cristiano Machado,99.81386494582183
119,Sagrada Família,Instituto Agronômico,98.25905716077678
120,Palmares,Antônio Carlos,99.34055620839291
121,Santo André,Antônio Carlos,96.3663108789239
122,Prado Lopes,Prado Lopes,93.7205253806263
123,Senhor dos Passos I,Prado Lopes,86.68290411869208
124,Angélica,Antônio Carlos,100.0
125,São Leopoldo,Antônio Carlos,90.86832279757994
126,Santa Ana,Caiçara,99.74453513261422
127,Santa Terezinha,Caiçara,100.0
128,Adelaide,Caiçara,99.65583246602138
129,Minas Gerais,Caiçara,73.85056980280658
130,Inconfidência,Abílio Machado,99.6494291431241
131,Pindorama,Glória,100.0
132,da Glória,Glória,99.92161990291322
133,Trinta e Um de Março,PUC,51.42325199796398
134,Dom Bosco,Abílio Machado,76.92197934896224
135,PUC,PUC,100.0
136,Minas Brasil,Padre Eustáquio,99.65171377979249
137,Presidente Juscelino,Caiçara,99.96107896081597
138,Futuro,Caiçara,64.6303350156078
139,Santos Dumont,Padre Eustáquio,99.96574909818881
140,Santa Rita,Padre Eustáquio,99.90242057317728
141,Padre Eustáquio,Padre Eustáquio,99.99970995697878
142,Celeste Império,Padre Eustáquio,99.44684187582675
143,Coração Eucarístico de Jesus,PUC,99.98079218428813
144,João Pinheiro,PUC,99.90245156314764
145,Ouro Preto,PUC,100.0
146,Santa Maria,Santa Maria,99.00052023374052
147,Santa Luzia,Santa Maria,100.0
148,Batista,Cabana,97.71801344039879
149,Camargos,Santa Maria,85.64486011645339
150,Jardinópolis,Cabana,50.46634995806638
151,Vargem de Tijuco,Cabana,100.0
152,Cabana do Pai Tomás,Cabana,100.0
153,das Oliveiras,Jardim América,74.83068976565838
154,Cavalieri,Jardim América,100.0
155,Nova Suíça,Jardim América,100.0
156,Atlântida,Jardim América,100.0
157,Bom Pastor,Jardim América,100.0
158,da Gameleira,Cabana,77.1135058301123
159,Carlos Prates,Padre Eustáquio,43.363676780907845
160,Sétima,Floresta/Santa Tereza,98.95124590184564
161,Adelina,Jardim América,100.0
162,Alvina,Barroca,99.9394686946786
163,Marinhos,Jardim América,100.0
164,Lídia,Barroca,100.0
165,Grajaú,Barroca,99.91024720375641
166,Jardim América,Jardim América,96.71185656096078
167,São Domingos,Jardim América,100.0
168,Santa Sofia,Morro das Pedras,99.99613639702952
169,Antena,Morro das Pedras,100.0
170,"São Jorge, Segunda Seção",Morro das Pedras,99.86750762089768
171,"São Jorge, Primeira Seção",Morro das Pedras,86.57647014597585
173,"São Jorge, Terceira Seção",Morro das Pedras,99.86866589602126
174,Terceira,Barroca,90.07008683351708
175,Oitava,Barro Preto,97.87337447723654
176,Segunda,Centro,97.10374259892338
177,Nona,Savassi,98.7618801247904
178,Terceira,Centro,74.78058257044484
179,Quarta,Savassi,91.97215172629394
180,Sexta,Savassi,65.88521405195905
181,Primeira,Centro,71.99688155164021
182,Décima Terceira,Francisco Sales,98.7312287981521
183,Décima Primeira,Savassi,99.92697299304942
184,Quinta,Savassi,100.0
185,Sétima,Savassi,99.32929111715798
186,Aparecida,Cafezal,99.71520835435042
188,Nossa Senhora do Rosário,Santa Efigênia,70.3669160868487
189,Fazendinha,Baleia,96.57571641483992
190,Santana do Cafezal,Cafezal,79.93574506171154
191,Nossa Senhora de Fátima,Cafezal,64.5176553684456
192,Paraíso,Santa Efigênia,87.0268958309408
193,Primeira,Serra,71.95782793235506
194,Segunda,Santo Antônio,67.68149918058141
195,Décima Segunda,Savassi,56.40664003818428
196,Décima,Savassi,99.95895722241532
197,Austin,Mangabeiras,99.70287095660093
198,Sion,Anchieta/Sion,62.7795058973609
199,Estrela,Barragem,99.27163721322796
200,Santa Rita de Cássia,Barragem,99.61771979830483
201,Santa Lúcia,Barragem,98.51540541106067
202,Afonso Pena,Prudente de Morais,56.28427470344519
203,Leonina,Morro das Pedras,96.58551702435467
204,Vista Alegre,Cabana,97.44696699230438
205,Vista Alegre,Cabana,96.08012596246215
206,COPASA,Barreiro de Cima,100.0
207,Nova dos Milionários,Barreiro de Cima,100.0
208,Havaí,Jardim América,58.62691170352008
209,Belvedere,Belvedere,99.02634978392769
210,Estoril,Estoril/Buritis/Pilar Oeste,97.33303591873616
211,Palmeiras,Betânia,91.81939961730285
212,dos Buritis,Estoril/Buritis/Pilar Oeste,94.52192655320508
